Handle,Title,Body (HTML),Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Fly Type (product.metafields.custom.fly_type),Product Format (product.metafields.custom.product_format),Season (product.metafields.custom.season),Spicies (product.metafields.custom.spicies)
leftys-deceiver-and-clousers-deep-minnow-fly-fishing-flies-12-saltwater-and-bass-flies,Leftys Deceiver and Clousers Deep Minnow Fly Fishing Flies | 12 Saltwater and Bass Flies,"<ul dir=""ltr"">
<li class=""a-spacing-mini"">
<div id=""featurebullets_feature_div"" data-feature-name=""featurebullets_nonPets"" data-csa-c-type=""widget"" data-csa-c-content-id=""featurebullets_nonPets"" data-csa-c-slot-id=""featurebullets_feature_div"" data-csa-c-asin=""B0F5BVYSYN"" data-csa-c-is-in-initial-active-row=""false"" data-cel-widget=""featurebullets_feature_div"" data-csa-c-id=""nt4fu5-a9kqlb-grg7fg-1frhh9"">
<div id=""feature-bullets"">
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">The Deceiver and Clousers Minnow Saltwater Flies have been proven effective on many species of saltwater and freshwater gamefish</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Set of 12 Flies - Lefty's Deceiver and Clouser's Minnow Patterns - Each Stainless Steel Hooks</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">The Lefty Kreh Deceiver style of fly is one of the world's most popular saltwater flies. The Clousers Deep Minnows are proven effective for almost any type of saltwater or freshwater gamefish</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Tied on premium stainless steel hooks</span></li>
<li class=""a-spacing-mini"">
<span class=""a-list-item"">Equally effective on saltwater gamefish like Striped bass and Redfish, and freshwater species like Bass and Pike</span><br>
</li>
</ul>
</div>
</div>
<div id=""provenanceCertifications_feature_div"" class=""celwidget"" data-feature-name=""provenanceCertifications"" data-csa-c-type=""widget"" data-csa-c-content-id=""provenanceCertifications"" data-csa-c-slot-id=""provenanceCertifications_feature_div"" data-csa-c-asin=""B0F5BVYSYN"" data-csa-c-is-in-initial-active-row=""false"" data-cel-widget=""provenanceCertifications_feature_div"" data-csa-c-id=""qs4fcj-bwjiox-c8ziz2-7sjcui"">
<div id=""provenance-certifications"" class=""a-section a-spacing-medium a-spacing-top-micro""></div>
</div>
</li>
</ul>",Fly Sets,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,11.75,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/Deceiver-Green-Red-White-Set-of-12-Fly-Fishing-Saltwater-Flies.webp?v=1770958550,1,,FALSE,,,Salt Water,Fly Sets,All Seasons,"Bass
Trout"
leftys-deceiver-and-clousers-deep-minnow-fly-fishing-flies-12-saltwater-and-bass-flies,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,11.75,,TRUE,TRUE,,,,,,,,,,,,,,,
leftys-deceiver-and-clousers-deep-minnow-fly-fishing-flies-12-saltwater-and-bass-flies,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,11.75,,TRUE,TRUE,,,,,,,,,,,,,,,
leftys-deceiver-and-clousers-deep-minnow-fly-fishing-flies-12-saltwater-and-bass-flies,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,11.75,,TRUE,TRUE,,,,,,,,,,,,,,,
leftys-deceiver-and-clousers-deep-minnow-fly-fishing-flies-12-saltwater-and-bass-flies,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,11.75,,TRUE,TRUE,,,,,,,,,,,,,,,
bead-head-copper-john-nymph-fly-fishing-flies-copy,San Juan Worm Bead Trout Fly Assortment,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">BEADED DESIGN: Equipped with beads to sink quickly in deep water columns, ideal for use as a dropper nymph fly in various fishing conditions.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">HAND-TIED FLIES: Crafted with strong hooks and durable materials, ensuring reliable performance for targeting multiple fish species.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">VERSATILE APPLICATION: Suitable for fly fishing in rivers, lakes, and streams, effective for catching trout, bass, steelhead, salmon and panfish year-round.</span></li>
</ul>",Fly Sets,,TRUE,Size,10,,,,,,,,,0,shopify,190,deny,manual,7.5,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/61ueHDvpftL._AC_SY300_SX300_QL70_FMwebp.webp?v=1771241119,1,,FALSE,,,Wets,Fly Sets,All Seasons,"Trout
Bass"
bead-head-copper-john-nymph-fly-fishing-flies-copy,,,,,,,12,,,,,,,,,0,shopify,190,deny,manual,7.5,,TRUE,TRUE,,,,,,,,,,,,,,,
bead-head-copper-john-nymph-fly-fishing-flies-copy,,,,,,,14,,,,,,,,,0,shopify,190,deny,manual,7.5,,TRUE,TRUE,,,,,,,,,,,,,,,
bead-head-copper-john-nymph-fly-fishing-flies-copy,,,,,,,16,,,,,,,,,0,shopify,190,deny,manual,7.5,,TRUE,TRUE,,,,,,,,,,,,,,,
bead-head-copper-john-nymph-fly-fishing-flies-copy,,,,,,,18,,,,,,,,,0,shopify,190,deny,manual,7.5,,TRUE,TRUE,,,,,,,,,,,,,,,
bead-head-american-pheasant-tail,Bead Head American Pheasant Tail,<p>The Bead Head American Pheasant Tail bridges the gap between large traditional stonefly nymphs and smaller natural varieties through fuller construction incorporating peacock herl and natural pheasant tail materials. The bead head provides weight and flash that attracts attention while the realistic materials create a profile that matches smaller stonefly nymphs trout actively hunt. The proven effectiveness as a complementary pattern to larger stonefly imitations makes this an essential choice for comprehensive nymph presentations. Fish this pattern alongside larger cousins to offer multiple size options that trigger strikes from selective trout. The combination of realistic materials and practical bead head construction makes this pattern an invaluable addition to any stonefly nymph selection.</p>,Fly Bars,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/942BNW_LG.webp?v=1771110771,1,,FALSE,,,Nymphs,Fly Bars,"Spring
Summer
Fall","Bass
Trout"
bead-head-american-pheasant-tail,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
bead-head-american-pheasant-tail,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
bead-head-american-pheasant-tail,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
bead-head-american-pheasant-tail,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
ted-s-golden-stone,Ted’s Golden Stone,"<p>Ted's Golden Stone delivers exceptional realism as a stonefly nymph pattern that exploits the most vulnerable stage of the stonefly lifecycle. The nymph stage represents the primary feeding opportunity for trout as these insects crawl along the bottom toward emergence, making this pattern far more effective than adult imitations that remain less available due to their aerial habits.</p>
<p>The realistic construction triggers aggressive responses from trout actively hunting bottom-dwelling nymphs. The proven effectiveness as a searching pattern makes this an essential choice for prospecting unfamiliar water where stonefly nymphs form a significant portion of available forage. When targeting trout feeding on natural stonefly nymphs, this pattern's superior realism and proven effectiveness deliver consistent success.</p>",Fly Bars,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/938B009W_66e889e7-23ea-462c-8e3d-c23b73b23915.webp?v=1771110610,1,,FALSE,,,Nymphs,Fly Bars,All Seasons,"Bass
Trout"
ted-s-golden-stone,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
ted-s-golden-stone,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
ted-s-golden-stone,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
ted-s-golden-stone,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
steelhead-hammer,Steelhead Hammer,"<p>The Steelhead Hammer has earned recognition among serious steelhead anglers as a go-to mayfly nymph pattern across diverse North American steelhead waters. Whether you're targeting Great Lakes river systems or pursuing wild Pacific Northwest steelhead, this pattern delivers consistent results through proven design that matches natural forage.</p>
<p>The versatility across different steelhead populations and water conditions makes this an essential pattern for anglers serious about consistent success. The proven effectiveness establishes this as a reliable choice when steelhead are feeding on mayfly nymphs. When steelhead fishing demands patterns that perform across varied conditions and populations, the Steelhead Hammer's proven track record makes it an indispensable component of any comprehensive steelhead fly selection.</p>",Fly Bars,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/27Y6109W.webp?v=1771110398,1,,FALSE,,,Nymphs,Fly Bars,All Seasons,"Bass
Trout"
steelhead-hammer,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
steelhead-hammer,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
steelhead-hammer,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
steelhead-hammer,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,3.55,,TRUE,TRUE,,,,,,,,,,,,,,,
hot-legs-foxy-gotcha,Hot Legs Foxy Gotcha,"<p>The Hot Legs Foxy Gotcha refines the proven Gotcha concept with arctic fox wing construction that generates superior lifelike movement, allowing the pattern to attract bonefish even when stationary on the bottom. The pulsating wing creates the illusion of a living shrimp without requiring active manipulation—simply cast to moving fish and let the pattern's inherent action do the work.</p>
<p>Silicone Hot Legs add additional attraction and movement that triggers feeding responses from selective bonefish. The combination of proven Gotcha fundamentals enhanced with superior materials makes this pattern exceptionally effective for sight-casting presentations where minimal disturbance and maximum realism matter. When targeting bonefish that demand subtle presentations, this pattern's proven effectiveness delivers consistent success.</p>",Fly Bars,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/7T5R139W.webp?v=1771110068,1,,FALSE,,,Salt Water,Fly Bars,All Seasons,"Bass
Trout"
hot-legs-foxy-gotcha,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
hot-legs-foxy-gotcha,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
hot-legs-foxy-gotcha,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
hot-legs-foxy-gotcha,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
grand-slam-crab,Grand Slam Crab,"<p>The Grand Slam Crab lives up to its name as a versatile saltwater pattern equally effective on permit, bonefish, and stripers hunting crustaceans on the flats. The realistic crab profile appeals to multiple species, making this an exceptionally efficient pattern for anglers targeting diverse flats predators without carrying extensive fly selections.</p>
<p>The proven effectiveness across these demanding species establishes this as an essential pattern for serious saltwater anglers. Whether you're sight-casting to cruising permit, stalking tailing bonefish, or stripping for aggressive stripers, this pattern delivers consistent results. The Grand Slam Crab's proven versatility across premier flats species makes it an indispensable choice for productive multi-species flats fishing.</p>",Fly Bars,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/1X57019W.webp?v=1771109885,1,,FALSE,,,Salt Water,Fly Bars,All Seasons,"Bass
Trout"
grand-slam-crab,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
grand-slam-crab,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
grand-slam-crab,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
grand-slam-crab,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
callahan-s-stabili-shrimp,Callahan’s Stabili Shrimp,"<p>Callahan's Stabili Shrimp delivers proven results when targeting tailing redfish in shallow water by providing exactly what these predators actively hunt—a realistic shrimp imitation. The lifelike silhouette matches natural forage that redfish eagerly pursue, while iridescent tail-like legs create subtle movement that triggers feeding responses.</p>
<p>The upward-facing hook ensures solid hooksets when aggressive redfish commit to the take, converting opportunities into landed fish. The proven effectiveness for increasing catch rates makes this pattern an essential choice for sight-casting to tailing redfish in shallow flats. When redfish are feeding on shrimp in skinny water, this pattern's combination of realistic profile and practical hook orientation delivers consistent success.</p>",Fly Bars,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/2FR3029W.webp?v=1771109368,1,,FALSE,,,Salt Water,Fly Bars,All Seasons,"Bass
Trout"
callahan-s-stabili-shrimp,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
callahan-s-stabili-shrimp,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
callahan-s-stabili-shrimp,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
callahan-s-stabili-shrimp,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
whalley-s-crack-crab,Whalley’s Crack Crab,"<p>Whalley's Crack Crab delivers consistent results for wade-fishing striper anglers targeting flats where aggressive predators hunt crustaceans. The weighted dumbbell eyes keep the pattern on bottom while the stripping action kicks up sand—a disturbance that triggers predatory responses from stripers actively hunting retreating prey.</p>
<p>The defined claws and rubber legs create a lifelike profile that stripers recognize as an easy meal, particularly effective on shallow flats where visibility and natural behavior matter. The proven effectiveness for generating consistent strikes makes this pattern an essential choice for striper anglers focused on putting up numbers.</p>
<p>When wade-fishing striper flats, this proven pattern delivers the combination of realistic imitation and practical bottom-hugging design that converts encounters into productive sessions.</p>",Fly Bars,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,12,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/3MSX0125W_W.webp?v=1771109096,1,,FALSE,,,Salt Water,Fly Bars,All Seasons,"Bass
Trout"
whalley-s-crack-crab,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,12,,TRUE,TRUE,,,,,,,,,,,,,,,
whalley-s-crack-crab,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,12,,TRUE,TRUE,,,,,,,,,,,,,,,
whalley-s-crack-crab,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,12,,TRUE,TRUE,,,,,,,,,,,,,,,
whalley-s-crack-crab,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,12,,TRUE,TRUE,,,,,,,,,,,,,,,
avalon-keel-crab-copy,Skittal Mantis Shrimp,"<p>The Skittal Mantis Shrimp delivers exceptional lifelike movement through rabbit fur construction that pulsates naturally in current, creating the illusion of a living, breathing shrimp. The Zonker-style design maximizes material responsiveness, allowing subtle water movement to animate the pattern without requiring active manipulation.</p>
<p>The abundant fur creates a profile that appeals to any fish species actively hunting shrimp, making this pattern exceptionally versatile across saltwater and freshwater applications. The proven effectiveness across diverse species and conditions establishes this as an essential pattern for anglers seeking shrimp imitations that generate consistent strikes through superior movement and realism. When fish key on shrimp, this pattern's lifelike action separates productive sessions from frustrating blanks.</p>",Fly Bars,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/85CT609W.webp?v=1771108744,1,,FALSE,,,Salt Water,Fly Bars,All Seasons,"Bass
Trout"
avalon-keel-crab-copy,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
avalon-keel-crab-copy,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
avalon-keel-crab-copy,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
avalon-keel-crab-copy,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,8.5,,TRUE,TRUE,,,,,,,,,,,,,,,
christmas-island-special-copy,Avalon Keel Crab,"<p>The Christmas Island Special exemplifies modern bonefish fly design through strategic refinements that enhance practical performance on challenging flats. Weighted eyes provide dual benefits—rapid descent to reach feeding zones and improved casting dynamics when battling the moderate winds endemic to tropical flats environments. The extended rubber legs pulse with lifelike movement that triggers predatory responses from bonefish actively hunting forage.</p>
<p>The minimalist presentation philosophy position and wait—allows anglers to focus on accurate casting and fish location rather than complex manipulation. This proven pattern's effectiveness across varied flats conditions and fish moods makes it an indispensable choice for anglers pursuing consistent bonefish success in premier destinations.</p>",Fly Bars,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/3R7E019W.webp?v=1771108584,1,,FALSE,,,Salt Water,Fly Bars,All Seasons,"Bass
Trout"
christmas-island-special-copy,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,,,,,,,,,,,,,,
christmas-island-special-copy,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,,,,,,,,,,,,,,
christmas-island-special-copy,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,,,,,,,,,,,,,,
christmas-island-special-copy,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,,,,,,,,,,,,,,
christmas-island-special,Christmas Island Special,"<p>The Christmas Island Special represents a refined evolution of modern bonefish fly design, delivering proven deadliness through thoughtful refinements to proven fundamentals. Weighted eyes ensure rapid descent and improved castability in the moderate winds that characterize flats fishing, while long rubber legs create irresistible movement that triggers aggressive responses from feeding bonefish.</p>
<p>The design's simplicity belies its effectiveness—drop it in front of cruising fish and the pattern's lifelike action does the work. The proven track record across diverse flats conditions establishes this as an essential pattern for anglers serious about consistent bonefish success. When selective fish demand precision and proven effectiveness, the Christmas Island Special delivers both in a pattern that converts opportunities into memorable encounters.</p>",Fly Bars,,TRUE,Size,10,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0810/7347/1709/files/2K90049W.webp?v=1771108160,1,,FALSE,,,Salt Water,Fly Bars,All Seasons,"Bass
Trout"
christmas-island-special,,,,,,,12,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,,,,,,,,,,,,,,
christmas-island-special,,,,,,,14,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,,,,,,,,,,,,,,
christmas-island-special,,,,,,,16,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,,,,,,,,,,,,,,
christmas-island-special,,,,,,,18,,,,,,,,,0,shopify,100,deny,manual,8,,TRUE,TRUE,,,,,,,,,,,,,,,
